2025-08-18 12:20:01, UNIFORM   , UCB       , 200, 0, 200, True , 2, 4, 1-0
2025-08-18 12:22:57, UNIFORM   , UCB       , 200, 1, 200, True , 2, 4, 1-0
2025-08-18 12:25:40, UNIFORM   , UCB       , 200, 2, 200, True , 2, 4, 1-0
2025-08-18 12:28:33, UNIFORM   , UCB       , 200, 3, 200, True , 2, 4, 1-0
2025-08-18 12:31:14, UNIFORM   , UCB       , 200, 4, 200, True , 2, 4, 1-0
2025-08-18 12:33:52, UNIFORM   , UCB       , 200, 5, 200, True , 2, 4, 1-0
2025-08-18 12:36:30, UNIFORM   , UCB       , 200, 6, 200, True , 2, 4, 1-0
2025-08-18 12:39:16, UNIFORM   , UCB       , 200, 7, 200, True , 2, 4, 0-1
2025-08-18 12:42:12, UNIFORM   , UCB       , 200, 8, 200, True , 2, 4, 1-0
2025-08-18 12:44:56, UNIFORM   , UCB       , 200, 9, 200, True , 2, 4, 0-1
2025-08-18 12:48:09, UNIFORM   , UCT       , 200, 0, 200, True , 2, 4, 0-1
2025-08-18 12:50:49, UNIFORM   , UCT       , 200, 1, 200, True , 2, 4, 0-1
2025-08-18 12:52:27, UNIFORM   , UCT       , 200, 2, 200, True , 2, 4, 0-1
2025-08-18 12:54:52, UNIFORM   , UCT       , 200, 3, 200, True , 2, 4, 0-1
2025-08-18 12:58:44, UNIFORM   , UCT       , 200, 4, 200, True , 2, 4, 0-1
2025-08-18 13:02:48, UNIFORM   , UCT       , 200, 5, 200, True , 2, 4, 0-1
2025-08-18 13:06:40, UNIFORM   , UCT       , 200, 6, 200, True , 2, 4, 1/2-1/2
2025-08-18 13:10:22, UNIFORM   , UCT       , 200, 7, 200, True , 2, 4, 1-0
2025-08-18 15:09:16, UNIFORM   , UCB       , 150, 0, 200, True , 2, 4, 1-0
2025-08-18 15:11:17, UNIFORM   , UCB       , 150, 1, 200, True , 2, 4, 0-1
2025-08-18 15:13:34, UNIFORM   , UCB       , 150, 2, 200, True , 2, 4, 1-0
2025-08-18 15:15:37, UNIFORM   , UCB       , 150, 3, 200, True , 2, 4, 1-0
2025-08-18 15:18:08, UNIFORM   , UCB       , 150, 4, 200, True , 2, 4, 1-0
2025-08-18 15:20:40, UNIFORM   , UCB       , 150, 5, 200, True , 2, 4, 1-0
2025-08-18 15:22:53, UNIFORM   , UCT       , 150, 0, 200, True , 2, 4, 0-1
2025-08-18 15:25:45, UNIFORM   , UCT       , 150, 1, 200, True , 2, 4, 0-1
2025-08-18 15:28:51, UNIFORM   , UCT       , 150, 2, 200, True , 2, 4, 0-1
2025-08-18 15:31:50, UNIFORM   , UCT       , 150, 3, 200, True , 2, 4, 1/2-1/2
2025-08-18 15:35:18, UNIFORM   , UCT       , 150, 4, 200, True , 2, 4, 1-0
2025-08-18 15:38:46, UNIFORM   , UCT       , 150, 5, 200, True , 2, 4, 1-0
2025-08-18 15:40:03, UNIFORM   , PUTC      , 150, 0, 200, True , 2, 4, 0-1
2025-08-18 15:40:38, UNIFORM   , PUTC      , 150, 1, 200, True , 2, 4, 0-1
2025-08-18 15:40:50, UNIFORM   , PUTC      , 150, 2, 200, True , 2, 4, 0-1
2025-08-18 15:41:03, UNIFORM   , PUTC      , 150, 3, 200, True , 2, 4, 0-1
2025-08-18 15:41:30, UNIFORM   , PUTC      , 150, 4, 200, True , 2, 4, 0-1
2025-08-18 15:43:17, UNIFORM   , PUTC      , 150, 5, 200, True , 2, 4, 0-1
2025-08-18 15:45:11, UCB       , UNIFORM   , 150, 0, 200, True , 2, 4, 1-0
2025-08-18 15:49:02, UCB       , UNIFORM   , 150, 1, 200, True , 2, 4, 0-1
2025-08-18 15:51:39, UCB       , UNIFORM   , 150, 2, 200, True , 2, 4, 1-0
2025-08-18 15:52:27, UCB       , UNIFORM   , 150, 3, 200, True , 2, 4, 1-0
2025-08-18 15:55:46, UCB       , UNIFORM   , 150, 4, 200, True , 2, 4, 0-1
2025-08-18 15:57:43, UCB       , UNIFORM   , 150, 5, 200, True , 2, 4, 1-0
2025-08-18 15:58:01, UCB       , UCT       , 150, 0, 200, True , 2, 4, 0-1
2025-08-18 16:05:24, UCB       , UCT       , 150, 1, 200, True , 2, 4, 0-1
2025-08-18 16:10:13, UCB       , UCT       , 150, 2, 200, True , 2, 4, 1-0
2025-08-18 16:14:10, UCB       , UCT       , 150, 3, 200, True , 2, 4, 1-0
2025-08-18 16:21:51, UCB       , UCT       , 150, 4, 200, True , 2, 4, 1-0
2025-08-18 16:22:50, UCB       , UCT       , 150, 5, 200, True , 2, 4, 1-0
2025-08-18 16:24:18, UCB       , PUTC      , 150, 0, 200, True , 2, 4, 0-1
2025-08-18 16:26:00, UCB       , PUTC      , 150, 1, 200, True , 2, 4, 0-1
2025-08-18 16:27:20, UCB       , PUTC      , 150, 2, 200, True , 2, 4, 0-1
2025-08-18 16:29:46, UCB       , PUTC      , 150, 3, 200, True , 2, 4, 0-1
2025-08-18 16:31:37, UCB       , PUTC      , 150, 4, 200, True , 2, 4, 0-1
2025-08-18 16:32:34, UCB       , PUTC      , 150, 5, 200, True , 2, 4, 0-1
2025-08-18 16:34:54, UCT       , UNIFORM   , 150, 0, 200, True , 2, 4, 1-0
2025-08-18 16:36:41, UCT       , UNIFORM   , 150, 1, 200, True , 2, 4, 1-0
2025-08-18 16:38:14, UCT       , UNIFORM   , 150, 2, 200, True , 2, 4, 1-0
2025-08-18 16:41:27, UCT       , UNIFORM   , 150, 3, 200, True , 2, 4, 0-1
2025-08-18 16:44:16, UCT       , UNIFORM   , 150, 4, 200, True , 2, 4, 0-1
2025-08-18 16:45:02, UCT       , UNIFORM   , 150, 5, 200, True , 2, 4, 1-0
2025-08-18 16:50:13, UCT       , UCB       , 150, 0, 200, True , 2, 4, 1-0
2025-08-18 16:55:29, UCT       , UCB       , 150, 1, 200, True , 2, 4, 1/2-1/2
2025-08-18 17:00:52, UCT       , UCB       , 150, 2, 200, True , 2, 4, 1-0
2025-08-18 17:05:38, UCT       , UCB       , 150, 3, 200, True , 2, 4, 1/2-1/2
2025-08-18 17:11:10, UCT       , UCB       , 150, 4, 200, True , 2, 4, 1-0
2025-08-18 17:16:23, UCT       , UCB       , 150, 5, 200, True , 2, 4, 1-0
2025-08-18 17:17:04, UCT       , PUTC      , 150, 0, 200, True , 2, 4, 0-1
2025-08-18 17:20:18, UCT       , PUTC      , 150, 1, 200, True , 2, 4, 0-1
2025-08-18 17:23:35, UCT       , PUTC      , 150, 2, 200, True , 2, 4, 0-1
2025-08-18 17:25:29, UCT       , PUTC      , 150, 3, 200, True , 2, 4, 0-1
2025-08-18 17:28:12, UCT       , PUTC      , 150, 4, 200, True , 2, 4, 0-1
2025-08-18 17:31:14, UCT       , PUTC      , 150, 5, 200, True , 2, 4, 0-1
2025-08-18 17:31:53, PUTC      , UNIFORM   , 150, 0, 200, True , 2, 4, 1-0
2025-08-18 17:32:08, PUTC      , UNIFORM   , 150, 1, 200, True , 2, 4, 1-0
2025-08-18 17:33:29, PUTC      , UNIFORM   , 150, 2, 200, True , 2, 4, 1-0
2025-08-18 17:36:12, PUTC      , UNIFORM   , 150, 3, 200, True , 2, 4, 1-0
2025-08-18 17:39:02, PUTC      , UNIFORM   , 150, 4, 200, True , 2, 4, 1-0
2025-08-18 17:42:20, PUTC      , UNIFORM   , 150, 5, 200, True , 2, 4, 1-0
2025-08-18 17:43:46, PUTC      , UCB       , 150, 0, 200, True , 2, 4, 1-0
2025-08-18 17:47:38, PUTC      , UCB       , 150, 1, 200, True , 2, 4, 1-0
2025-08-18 17:51:02, PUTC      , UCB       , 150, 2, 200, True , 2, 4, 1-0
2025-08-18 17:52:40, PUTC      , UCB       , 150, 3, 200, True , 2, 4, 1/2-1/2
