pgn,white,black,result,moves,white_acpl,black_acpl,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19917.8,40021.2,20.0,60.0,1,1,1,1,0,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19923.6,40026.0,20.0,60.0,1,1,1,1,0,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19932.8,40028.4,40.0,60.0,1,1,1,2,0,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19937.0,40026.4,40.0,60.0,1,1,1,1,0,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19939.2,40030.0,40.0,60.0,1,1,1,0,1,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19947.2,40041.8,40.0,60.0,1,1,1,1,1,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19934.6,40032.0,40.0,60.0,1,1,1,0,1,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19935.8,40035.6,40.0,60.0,1,1,1,1,1,1
PUTC_GRAVE_vs_STOCKFISH.pgn,PUTC_GRAVE,STOCKFISH,0-1,16,19938.6,40055.0,20.0,60.0,1,1,1,1,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,16,177.2,67.0,0.0,60.0,0,4,1,0,2,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,32,7692.9,14.5,15.4,53.8,5,2,2,1,0,0
PUTC_vs_UCB.pgn,PUTC,UCB,1-0,80,19031.5,19063.1,24.3,8.1,5,11,14,10,6,15
PUTC_vs_UCB.pgn,PUTC,UCB,1/2-1/2,57,125.7,130.9,7.7,20.0,5,5,4,3,3,4
