pgn,white,black,result,moves,white_acpl,black_acpl,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,40.0,12.0,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,104.0,50.0,0.0,0.0,0,1,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,99.0,0.0,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,68.0,55.0,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,98.0,38.0,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,74.0,75.0,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,31.0,146.0,0.0,0.0,0,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,53.0,42.0,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,48.0,63.0,0.0,0.0,0,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,53.0,21.0,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,5.5,3.0,50.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,10.0,14.0,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,57.5,89.0,0.0,0.0,1,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,13.5,101.0,50.0,0.0,0,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,47.5,49.0,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,66.5,33.0,0.0,0.0,0,1,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,24.0,10.0,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,13.5,12.0,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,62.5,105.0,0.0,0.0,1,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,55.0,60.0,0.0,0.0,0,1,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,95.0,65.0,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,54.0,76.0,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,65.0,75.0,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,4.0,76.0,0.0,0.0,0,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,70.0,98.0,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,42.0,32.0,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,93.0,129.0,0.0,0.0,1,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,36.0,98.0,0.0,0.0,0,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,45.0,38.0,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,70.0,70.0,0.0,0.0,1,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,36.5,32.0,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,32.0,37.0,50.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,51.5,34.0,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,31.0,31.0,50.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,41.5,0.0,0.0,100.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,85.0,8.0,0.0,100.0,0,1,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,52.5,62.0,0.0,0.0,1,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,26.5,120.0,0.0,0.0,0,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,44.0,7.0,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,49.5,45.0,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,80.0,19.0,0.0,100.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,11.0,3.0,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,10.0,149.0,0.0,0.0,0,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,79.0,40.0,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,30.0,126.0,0.0,0.0,0,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,11.0,21.0,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,164.0,59.0,0.0,0.0,0,1,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,143.0,105.0,0.0,0.0,0,1,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,60.0,165.0,0.0,0.0,1,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,69.0,111.0,0.0,0.0,1,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,122.0,88.0,0.0,0.0,1,1,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,119.0,147.0,0.0,0.0,1,1,0,0,1,0
