pgn,white,black,result,moves,white_acpl,black_acpl,white_accuracy,black_accuracy,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,40.0,12.0,83.3,94.3,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,104.0,50.0,65.8,80.0,0.0,0.0,0,1,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,99.0,0.0,66.9,100.0,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,68.0,55.0,74.6,78.4,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,98.0,38.0,67.1,84.0,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,74.0,75.0,73.0,72.7,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,31.0,146.0,86.6,57.8,0.0,0.0,0,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,53.0,42.0,79.1,82.6,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,48.0,63.0,80.6,76.0,0.0,0.0,0,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,53.0,21.0,79.1,90.5,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,5.5,3.0,97.4,98.5,50.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,10.0,14.0,95.4,93.5,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,57.5,89.0,77.9,69.2,0.0,0.0,1,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,13.5,101.0,94.1,66.4,50.0,0.0,0,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,47.5,49.0,81.3,80.3,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,66.5,33.0,76.3,85.8,0.0,0.0,0,1,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,24.0,10.0,89.3,95.2,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,13.5,12.0,94.1,94.3,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,62.5,105.0,76.5,65.6,0.0,0.0,1,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,55.0,60.0,82.3,76.9,0.0,0.0,0,1,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,95.0,65.0,67.8,75.5,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,54.0,76.0,78.7,72.5,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,65.0,75.0,75.5,72.7,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,4.0,76.0,98.0,72.5,0.0,0.0,0,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,70.0,98.0,74.1,67.1,0.0,0.0,1,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,42.0,32.0,82.6,86.2,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,93.0,129.0,68.3,60.8,0.0,0.0,1,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,36.0,98.0,84.7,67.1,0.0,0.0,0,0,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,45.0,38.0,81.6,84.0,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,70.0,70.0,74.1,74.1,0.0,0.0,1,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,36.5,32.0,84.6,86.2,0.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,32.0,37.0,87.9,84.4,50.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,51.5,34.0,82.5,85.5,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,31.0,31.0,88.2,86.6,50.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,41.5,0.0,83.4,100.0,0.0,100.0,1,0,0,0,0,0
