pgn,game_id,ply,side,san,best_san,loss_cp,class,accuracy
AB_vs_STOCKFISH.pgn,0,0,W,d3,e4,40,ok,83.3
AB_vs_STOCKFISH.pgn,0,1,B,e6,d5,12,ok,94.3
AB_vs_STOCKFISH.pgn,1,0,W,b4,e4,104,mistake,65.8
AB_vs_STOCKFISH.pgn,1,1,B,Nc6,e5,50,inaccuracy,80.0
AB_vs_STOCKFISH.pgn,2,0,W,f4,e4,99,inaccuracy,66.9
AB_vs_STOCKFISH.pgn,2,1,B,e6,d5,0,ok,100.0
AB_vs_STOCKFISH.pgn,3,0,W,a4,e4,68,inaccuracy,74.6
AB_vs_STOCKFISH.pgn,3,1,B,d5,e5,55,inaccuracy,78.4
AB_vs_STOCKFISH.pgn,4,0,W,h4,e4,98,inaccuracy,67.1
AB_vs_STOCKFISH.pgn,4,1,B,Nc6,d5,38,ok,84.0
AB_vs_STOCKFISH.pgn,5,0,W,a3,e4,74,inaccuracy,73.0
AB_vs_STOCKFISH.pgn,5,1,B,f5,e5,75,inaccuracy,72.7
AB_vs_STOCKFISH.pgn,6,0,W,Nf3,e4,31,ok,86.6
AB_vs_STOCKFISH.pgn,6,1,B,f6,Nf6,146,mistake,57.8
AB_vs_STOCKFISH.pgn,7,0,W,g3,Nf3,53,inaccuracy,79.1
AB_vs_STOCKFISH.pgn,7,1,B,Nf6,e5,42,ok,82.6
AB_vs_STOCKFISH.pgn,8,0,W,c3,e4,48,ok,80.6
AB_vs_STOCKFISH.pgn,8,1,B,c6,e5,63,inaccuracy,76.0
AB_vs_STOCKFISH.pgn,9,0,W,f4,e4,53,inaccuracy,79.1
AB_vs_STOCKFISH.pgn,9,1,B,Nf6,e6,21,ok,90.5
STOCKFISH_vs_AB.pgn,10,0,W,e4,e4,0,ok,100.0
STOCKFISH_vs_AB.pgn,10,1,B,c5,e5,3,ok,98.5
STOCKFISH_vs_AB.pgn,10,2,W,Bc4,Nf3,11,ok,94.8
STOCKFISH_vs_AB.pgn,11,0,W,e3,e4,19,ok,91.3
